psc,naics,description,0
Z2AA,236220.0,"NOTICE TO PROCEED FOR  MISCELLANEOUS FBI PROJECTS, SUITE 313 SIDE LIGHT PROJECT, POLYGRAPH ROOM PROJECT, AND WATER BOTTLE FILLING STATIONS PROJECT AT THE FEDERAL BUREAU OF INVESTIGATION, 509 RESOURCE ROW, CHESAPEAKE, VA 23320-3706.",1
5895,334511.0,8506339123!COMMUNICATION SYSTE,1
Z2AA,236220.0,"ADMINISTRATIVE ACTION TO RECOMMIT FUNDS IN THE TOTAL AMOUNT OF $443,822.07 WHICH WAS NOT OBLIGATED AT THE TIME OF INITIAL TASK ORDER AWARD - SECURE PROCESSING ROOM RENOVATION - UNITED STATES ATTORNEY'S OFFICE - COMERICA BUILDING - DETROIT, MICHIGAN",1
U004,541690.0,"INFORMETRIX- USDA NRCS SOIL SURVEY CENTER NEBRASKA- TRAINING IN CHEMOMETRIC ANALYSIS AS SPECIFIED ON ATTACHED QUOTE. (2 DAYS, ON-SITE TRAINING FOR UNLIMITED ATTENDEES) NEEDED FOR EQUIPMENT FOR MISSION RELATED WORK. SEE QUOTE 180517.1- TRAINING IN LINCOLN ,NE-THIS MODIFICATION IS TO ADD ONE ADDITIONAL DAY OF CHEMOMETRIC ANALYSIS TRAINING (ADDITIONAL $2,500)",1
D399,541512.0,IGF::OT::IGF UPDATE DUE DATE FOR CLIN 0002AF,1
7B22,541519.0,"THE PURPOSE OF THIS FIRM FIX PRICED DELIVERY ORDER IS TO PURCHASE BRAND NAME HEWLETT PACKARD ENTERPRISE (HPE) DL580-G10 SERVER, IN SUPPORT OF STRATEGY FOR DATA AND ANALYTICS FOR COMPLIANCE DATA WAREHOUSE (CDW).",1
5985,334220.0,MODIFICATION TO EXTEND THE DELIVERY DATE TO 17 MAY 2019 AND ACCEPT CONSIDERATION FOR THE CONTRACTOR'S DELAY  V020D10,1
R606,561492.0,"THE INTERNAL REVENUE SERVICE HAS REQUIREMENT FOR COURT REPORTING SERVICES FOR ORAL REPLY NEEDED FOR 14 MARCH. 2024 AT 9:00 A.M (PST) AT 300 N. LOS ANGELES ST, 3RD FLOOR, ROOM 3018 LOS ANGELES, CA 90012 - IN PERSON.",1
Z2JZ,237990.0,HEKP18-4015 REPLACE TOWER RG 27A,1
5120,339940.0,"CORRECTION TAPE, ROLLER,...",1
Y1PZ,238210.0,"CONSTRUCTION CONTRACT: REPLACE AND INSTALL LIGHT EMITTING DIODE (LED) LIGHTING IN VARIOUS BUILDINGS THROUGHOUT KENNEDY SPACE CENTER.  MOD 10: THE PURPOSE OF THE MOD IS TO CONSOLIDATE THE EFFORT ON TN24 (-$1, 145), TN25 ($8,494), TN26 ($1,028)&TN29 ($600) FOR A CUMULATIVE AMOUNT OF $8,977.00. CONTRACT VALUE IS INCREASED BY $8,977, FROM $2,243,239 TO $2,252,216. THE PERIOD OF PERFORMANCE REMAINS UNCHANGED.",1
5680,423610.0,4562774307!MOTOR SHUTTER FOR ROLLUP DOOR 3PHASE 200,1
7E20,541519.0,ZBRA ID# OTD2021THIS REQUISITION INCLUDES THE ACQUISITION OF IT EQUIPMENT.THE PURPOSE OF THIS REQUISITION IS TO PURCHASE 100 LICENSE RENEWALS FOR ENCASE FORENSIC STANDARD SITE LICENSE SOFTWARE AND RENEW FIVE (5) ENCASE FORENSIC NAS LICENSES WHERE EAC,1
D319,541519.0,"PALO ALTO NETWORKS EQUIPMENT AND PREMIER SUPPORT FOR BASE YEAR.   THE FOUR OPTION YEARS ARE FOR MAINTENANCE AND LICENSES.  SEE ATTACHED  BASE YEAR, WITH UP TO FOUR (4), ONE (1) YEAR OPTIONAL PERIODS:  - BASE:            6/10/2019 TO 6/9/2020 - $481,670.00  - OPTION YEAR I:   6/10/2020 TO 6/9/2021 - $211,090.00 - OPTION YEAR II:  6/10/2021 TO 6/9/2022 - $211,090.00 - OPTION YEAR III: 6/10/2022 TO 6/9/2023 - $211,090.00 - OPTION YEAR IV:  6/10/2023 TO 6/9/2024 - $211,090.00",1
R425,541690.0,TRADE STUDY SERVICES,1
DD01,541519.0,ADD FUNDING FOR 12-MONTH EXTENSION OF HPE ARUBA HARDWARE & SOFTWARE PRODUCTS FOR THE USMMA IT DEPARTMENT,1
DG11,541519.0,VERB010070EBM - COMMERCIAL VOICE SERVICES,1
5680,423610.0,4561364650!REDUCER FOR MILT81772B TYPE II 5 GAL UNI,1
Z2AA,236220.0,"THE PURPOSE OF THIS MODIFICATION IS TO AWARD TO VALIANT CONSTRUCTION FUNDS FOR THE ABATEMENT OF ASBESTOS IN PHASE II AND PHASE III OF THE VETERANS ADMINISTRATION REGIONAL OFFICE RENOVATION PROJECT.  THE CONTRACTOR WILL PROVIDE ALL MATERIALS, LABOR AND EQUIPMENT REQUIRED TO PERFORM A COMPLETE ASBESTOS ABATEMENT IN ACCORDANCE WITH THE STATEMENT OF WORK DATED 11.07.2017.  A.  AWARD IS BASED ON BEST AND FINAL  ABATEMENT PROPOSAL DATED DECEMBER 13, 2017 FOR A COMBINED PROPOSAL COST OF $344,588.65. PHASE I PAYMEN",1
5895,334511.0,EGA SYSTEM,1
R606,561492.0,"TASK ORDER TO PROVIDE VERBATIM HEARING RECORDING SERVICES FOR 5,180 HEARINGS AND 518 CANCELLATIONS AT THE CREVE COEUR, MO HEARING OFFICE, INCLUDING REMOTE AND SATELLITE OFFICES, ON COURT PROCEEDINGS ON DISABILITY APPEAL CASES.",1
F099,115310.0,DUST ABATEMENT CALCIUM CHLORIDE APPLICATION.,1
R706,541990.0,LOGISTICS SUPPORT SERVICES FOR BALANCE NAIL 18-5530.,1
R425,335999.0,"ADD FUNDING TO 693KA8-20-D-00011 TO ESTABLISH A DC BUS AT QNN (JOHNSONVILLE, NC) RCAG JCN# 22002607.  THIS INCLUDES INSTALLATION, STARTUP SERVICES, AND FACTORY TRAINING.",1
R499,541512.0,THIS IS A CLOSEOUT ACTION INITIATED BY THE S&T  VERIFICATION AND VALIDATION (V&V) TEAM. ATTN: ALEYSON  HUESGEN.  NOTICE TO VENDOR: PLEASE SEND COUNTERSIGNED MODIFICATION  VIA EMAIL TO MS. ALEYSON HUESGEN AT  ALEYSON.HUESGEN@HQ.DHS.GOV A,1
7510,325992.0,SANDISK 480GB PLUS SSD,1
6680,334513.0,"8510020805!TRANSMITTER,RATE OF",1
6675,334519.0,"8505284184!TEMPLATE,DRAFTING",1
C1AA,236220.0,"MODIFICATION NO. PS16 IS HEREBY ISSUED FOR THE NEGOTIATED AMOUNT OF $20,913.51 FOR RFP# 18 LINE 3 ONLY FOR THE FBI PROJECT AT 26 FEDERAL PLAZA, NEW YORK, NY.   MODIFICATION NO. PS16 INCREASES THE TASK ORDER AMOUNT BY $20,913.51 (FROM $10,854,530.85 TO $10,875,444.36).",1
B599,541519.0,"THE PURPOSE OF THIS MODIFICATION IS TO ADD INCREMENTAL FUNDING:  1. LINE ITEM 1 BY TOTAL OF $6,575.43  AS A RESULT, OF THIS MODIFICATION THE TOTAL FUNDING VALUE INCREASED FROM $36,103.57 BY $6,575.43 TO $42,679.00. COST REMAIN THE SAME.",1
R425,334220.0,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE ON CLIN 1011 DUE TO A DELAY IN LONG LEAD ITEMS,1
5998,334413.0,8505717296!ELECTRONIC COMPONEN,1
Y1PZ,236220.0,MN VALLEY ES ADDITION-MOD 6 TO ADD PCCOS 6-11,1
Y1ND,237110.0,P00001 DEOBS REMAINING $7426.00 ON LINE ITEM 1 THEN CLOSES TO,1
5680,423610.0,4540372035!T AND DRILL POINT HEAD TYPE - WAFER DRIV,1
1430,334511.0,ANTPY-2 RADAR #9 AND #10 - DEFINITIZATION OF CONTRACT,1
Z2AA,236220.0,THIS IS AN INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) FOR CONSTRUCTION AND MOVE SUPPORT FOR THE NATIONAL ARCHIVES AND RECORDS ADMINISTRATION. ADMINISTRATIVE CORRECTION AND REVISION TO A1 VALUT AND LOBBY DOORS,1
N063,561621.0,CECOM ACCESS CONTROL SYSTEM MAINTENANCE,1
7E20,334310.0,CCR AUDIO VISUAL REFRESH,1
5995,334419.0,8507196572!,1
F014,115310.0,GIBB PCT IS A HAZARDOUS FUELS REDUCTION PROJECT FOR THINNING AND HAND PILING.   MOD #1 GIBB UNIT 6 HAD THE INCORRECT ACREAGE LISTED IN THE CONTRACT. THE CONTRACTOR ASKED FOR A REMEASUREMENT. THE ACREAGE WAS ORIGINALLY LISTED AS 42 ACRES BUT WAS IN,1
N063,236220.0,"SECURITY FOR CID- BADGING SYSTEM - LENEL W/ KEYPAD READER, CCTV AND INTERCOM SYSTEM",1
D304,541519.0,"IGF::OT::IGF  CALL ORDER ISSUED TO PROVIDE WIRELESS EQUIPMENT, VOICE, AND DATA SERVICES TO SUPPORT OASAM IN ACCORDANCE WITH THE STATEMENT OF WORK (SOW).  CALL ORDER NUMBER 1605DC-18-F-00015 IS A FIRM FIXED PRICE (FFP) CALL ORDER ISSUED IN ACCORDA",1
DA10,541512.0,"THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE SOW AS FOLLOWS, SEC 3.0 AND 5.2.",1
D399,541511.0,"DE-OBLIGATE FUNDS IN THE AMOUNT OF $16,077.99 FROM THE EXPIRED BASE YEAR OF THE GEOSPATIAL DATA AND OPERATIONS SUPPORT (GDOS) TASK ORDER 70RTAC19FC0000065",1
AF11,611710.0,SCIENTIFIC STUDY AND FINAL REPORT PERTAINING TO NIRSENSE TECHNOLOGY,1
Z2AA,236220.0,"GENERAL SERVICES ADMINISTRATION. MODIFICATION P-5 IS AN ADMINISTRATIVE CHANGE TO UPDATE THE FUNDING FIXED ASSET RMO22714MO0050ZZ INFORMATION FROM CIPIMP TO IMPROVMNT IN THE ACCOUNTING LINES OF THIS AWARD. 400 E 9TH ST, KANSAS CITY, MO 64106.",1
5840,334111.0,"THE PURPOSE THIS MODIFICATION IS TO (1) EXTEND CLINS 0003, 0005 AND 0011 DELIVERY END DATE FROM 01 APRIL 2022 TO 30 JUNE 2022 AND (2) UPDATE THE SHIP TO DATE LOCATION UNDER CLIN 0005 FROM NSWCPD TO PRISM.",1
5680,423610.0,4542864480!LOCKING INTERLOCK SWITCH - PIZZATRO - FG,1
R425,541690.0,"PROJECT FACILITATION (PF) SERVICES FOR ENERGY SAVINGS PERFORMANCE CONTRACT PROJECT PF 379B, BUREAU OF PRISONS, FEDERAL CORRECTIONAL INSTITUTION, MILAN, MICHIGAN  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE EXCUSABLE DELAY EXTENSION PERIOD 2 OF",1
Z1AA,236220.0,"47PD0518F0021, MOD PA0004 - MOD ACCESS CARD SYSTEM AND SECURITY CAMERA  ALL WORK HAS BEEN PERFORMED SATISFACTORILY AND FINAL PAYMENT HAS BEEN MADE FOR DELIVERY ORDER NUMBER EN47PD0518F0021 ISSUED AGAINST THE ABOVE REFERENCED CONTRACT.  THEREFORE, DELIVERY ORDER NUMBER EN47PD0518F0021  IS HEREBY CLOSED OUT.  THE FINAL PRICE OF DELIVERY ORDER EN47PD0518F0021  IS  $67,120.00   PER FAR 52.246.21, THE WARRANTY OF CONSTRUCTION RUNS ONE YEAR FROM  11/15/2018 TO 11/14/2019",1
6350,561621.0,"THE PURPOSE OF THE MODIFICATION IS TO EXTEND THE CONTRACT PERFORMANCE PERIOD FROM JANUARY 31, 2019 THROUGH MARCH 31, 2019.    A.  IN CONSIDERATION OF THIS EXTENSION THE CONTRACTOR HAS AGREED TO REPLACE THE CURRENT ""INSTALLER MANAGER"" WITH A ""PROJECT MANAGER"" AT NO INCREASE IN COST TO THE GOVERNMENT.    B.  THE CONTRACTOR SHALL PROVIDE A REVISED SACRAMENTO AND SAN FRANCISCO SCHEDULE TO MEET THE APPROVAL OF THE CONTRACTING OFFICER REPRESENTATIVE.     C.  THE CONTRACT AMOUNT REMAINS UNCHANGED AT $1,229,345.41.",1
5930,335931.0,"8505246290!STOP,ELECTRICAL SWI",1
5680,423610.0,4547414185!MOTOR TYPE 460 V HORSEPOWER 1 HP STYLE 1,1
Z2AA,236220.0,"NO COST SCOPE CHANGE FOR UPGRADE AIRFIELD LIGHTING VAULT, B-2830",1
5680,423610.0,"4547499735!BULLETPROOF GLASS, UL LEVEL 5 W/BULLETPR",1
1410,336419.0,"IN SUPPORT OF FY19-20 PATRIOT ADVANCED CAPABILITY (PAC-3) MISSILE PRODUCTION, THIS MODIFICATION IS TO INCORPORATE ENGINEERING CHANGE PROPOSALS (ECPS) INTO SECTION C-5 OF THE CONTRACT.",1
Y1CZ,236220.0,MULTIPLE PCS FOR THE FACILITY WARGAMING CENTER PROJECT.T,1
7030,518210.0,OFFICE OF HUMAN RESOURCES - TABLEAU SOFTWARE LICENSE,1
Z2JZ,236220.0,1C3205141P 18021 REMOVE WALL COVERINGS  498875 180 PX920640P 9401 REPLACE HW COIL 496950 180 CA920611P 52024 REPAIR LINOLEUM 499912 180 CH205510P 52024 REPAIR CHAPEL BELLS 493009 120 AD202641P 1950 REPLACE HVAC 499366 240,1
D318,541519.0,"CISCO HARDWARE, CISCO WEBEX, INSTALLATION, OPERATIONS AND MAINTENANCE.  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR ONE.",1
N070,334290.0,"METASYS&WINDOWS 2008 SERVER UPGRADE - SOFTWARE&HARDWARE COST  HOWARD M. METZENBAUM U.S. COURTHOUSE 201 SUPERIOR AVE, CLEVELAND, OH 44114  JOHN F. SEIBERLING FEDERAL BUILDING&U.S. COURTHOUSE 2 SOUTH MAIN ST, AKRON, OH 44308  THOMAS D. LAMBROS FEDERAL BUILDING&U.S. COURTHOUSE 125 MARKET ST, YOUNGSTOWN, OH 44503  NATHANIEL R. JONES FEDERAL BUILDING&U.S. COURTHOUSE; 10 E. COMMERCE ST, YOUNGSTOWN, OH 44503",1
R499,541511.0,"IGF::OT::IGF THE LABORATORY OF IMAGING PHYSICS REQUIRES SALARY FOR PROFESSIONAL SERVICES IN ORDER TO DEVELOPING SOFTWARE FOR NEW X-RAY IMAGING SYSTEM. A TOTAL OF 260 HOURS, AT A RATE OF $30 PER HOUR, I.E. FOR A TOTAL COST OF $7,800, AND A MAXIMUM PERIOD OF 12 MONTHS, BEGINNING JANUARY 2, 2018.",1
AD92,541990.0,"THIS TASK WILL PROVIDE SCIENTIFIC, ENGINEERING, AND TECHNICAL ASSISTANCE SUPPORT TO THE DEFENSE ADVANCED RESEARCH PROJECTS AGENCY (DARPA) TACTICAL TECHNOLOGY OFFICE (TTO) FOR CONTROL OF REVOLUTIONARY AIRCRAFT WITH NOVEL EFFECTORS (CRANE) SUPPORT.",1
C1QA,236210.0,"IGF""""CL""""IGF CHANGE PAYMENT CODE A0229(2017160-17)",1
F003,115310.0,"ENGINE, TYPE 3 811414 1934239804 IB210005640",1
5680,423610.0,"4562903880!BOX, JUNCTION, ONE GANG, FIVE HUB, 2-3/4",1
R499,541910.0,THE PURPOSE OF THIS MODIFICATION IS TO CLOSE THE PHYSICALLY COMPLETE TASK ORDER IN ACCORDANCE WITH FAR 4.804-5.,1
7045,541519.0,TAFS: 70190610  AVIATION MISSION SYSTEM C4ISR   RED BEACH C2 USER YEARLY LICENSE RENEWAL   QTY 14  C3CEN DETACHED TO ALC MSSL LAB  SPEND PLAN :C3CEN -102-19-3.1 AR-19-0423   AAP NOT REQUIRED  ITAR NOT REQUIRED FOR THIS PROCUREMENT UNDER 100K  NOT INHERENTLY GOVERMENTAL-CRITICAL FUNCTION  RECURRING BUY  CONTRACTOR NAME : LMCO   CONTRACTOR POC: WALTER SMITH (609) 326-4874 WALTER.M.SMITH@LMCO.COM  TECHNICAL POC : JOEL ALLAN JOEL.R.ALLAN2@USCG.MIL (252) 335-6147  AAP# N/A  DOC#,1
W074,532420.0,POSTAGE LEASE MAIL MACHINE - CR FUNDING ONLY ACTION - FULL FUNDING,1
R702,541360.0,ENERGY&MINERAL GIS DATA&MAIN&SUPPT,1
DH10,541519.0,THE PURPOSE OF THIS REQUIREMENT IS TO PROVIDE AMAZON WEB SERVICES TO THE OFFICE OF INFORMATION AND TECHNOLOGY.,1
R799,541990.0,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE WORKSHOP TO A WEBINAR AND INCLUDE AN E-MAIL ADDRESS FOR INVOICE SUBMISSIONS FOR NON-PERSONAL SERVICES FOR PIRO CORALS RECOVERY WORKSHOP SUPPORT.,1
1370,115310.0,"PRESCOTT FIRE CACHE AERIAL FIRE IGNITION DRAGON EGGS, USDA, NFES 3412, HAZARDOUS MATERIALS  AERIAL IGNITION DEVICES - PING-PONG BALLS PREMO FIREBALL SPHERES TO BE SHIPPED TO 3 SEPARATE LOCATIONS  POC: VICTOR HERNANDEZ VICTOR.HERNANDEZ2@USDA.GOV",1
3040,213113.0,8509746422!,1
7030,334111.0,"COMMVAULT COMPLETE BACKUP AND RECOVERY. EXERCISE AN OPTION IAW THE CONTRACT'S CLAUSE FAR 52.217-9, OPTION TO EXTEND THE TERM OF THE CONTRACT, AND INCREASE CLIN 2001 AND 2002 DUE TO A MANUFACTURER'S PRICE INCREASE.",1
V228,488330.0,CHANGE PERIOD OF PERFORMANCE AND CHANGE PAYMENT METHOD TO WAWF,1
6685,334519.0,"8508939518!TRANSMITTER,PRESSUR",1
R408,541618.0,MITRE FY21 MANAGEMENT & ADMINISTRATION TASK ORDER,1
6150,335311.0,"8508633933!CABLE ASSEMBLY,SPEC",1
DA10,541519.0,ACQUISITION OF SAFENET PKI CARDS FOR MERLIN PERIOD OF PERFORMANCE:  1 YEAR FROM AWARD DATE **OR** 06/25/2022 - 06/24/2023 (WHICH EVER OCCURS FIRST) LN 7.07 & OD 6.3%  QUOTE NUMBER:  23288  DATED 05/27/2022,1
6680,334519.0,"8505754953!TAPE,DISPLAY",1
R422,541990.0,ANALYTIC EXPERTISE ON DENTAL CARE UTILIZATION AND EXPENDITURES,1
R497,541990.0,"THIS MODIFICATION IS TO: 1. EXERCISE THE OPTION (CLIN 00002) AND PROVIDE INCREMENTAL FUNDING TO CLIN 00002 IN THE AMOUNT OF $150,000, CHANGING OBLIGATIONS FROM $325,000 TO $475,000. UNILATERAL MODIFICATION, NO SIGNATURE IS REQUIRED. ALL OTHER TERM",1
7A21,541519.0,PULSE SECURE MAINTENANCE TO PROVIDE WIRED AND WIRELESS 802.LX AUTHENTICATION AND NETWORK ACCESS CONTROL.,1
D304,541512.0,"CO-LOCATION SERVICES-THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TERMS OF THIS CONTRACT UP TO SIX (6) MONTHS, AT $2,488.92 PER MONTH 1) ADD CLINS 0012 TASK ORDER IN THE AMOUNT OF $4,977.84 2) EXERCISE CLIN 0012 FOR POP: 6/1/2024-7/31/2024.",1
J099,811310.0,IGF::OT::IGF   MAINTENANCE AND REPAIR OF AOD&OHD,1
5915,334419.0,"8510445277!FILTER,BAND PASS",1
W074,334111.0,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE PAYMENT DODAAC FROM W90KAD TO W58ATU,1
N063,561621.0,EXTEND THE PERFORMANCE PERIOD DUE TO NATIONWIDE SHORTAGES AND SUPPLY CHAIN ISSUES.  NO MONETARY CHANGES WERE MADE. PREVIOUS END DATE: 09/09/2022- MODIFICATION: ADD 140 DAYS TO THE PERFORMANCE PERIOD. NEW END DATE: 01/27/2023,1
4710,334412.0,"8510232883!TUBE,BENT,METALLIC",1
D399,541519.0,"IGF::OT::IGF - FULLY FUND IN THE AMOUNT $317,175.46 OPTION YEAR 4",1
5925,335313.0,8509291301!CIRCUIT BREAKER,1
7030,541511.0,MOBILE APP FOR THE PREVENTION OF SUICIDE DE-OB 650D14002,1
N056,236220.0,"INSTALL VINYL FLOOR TILES AND COVE BASE AT BLDG. 209 AND 210 AT FORT HAMILTON, NY.",1
3940,488190.0,"8506150257!SLING,ENDLESS",1
6640,334516.0,"MILLIPLEX BOVINE CYTOKINE PANEL, MAGNETIC, 8-PLEX FOR IFNG, IL-10, IL-17A, IL-1B, IL-6, IL-36RA/IL-1F5, TNFA AND MCP-1/CCL2 CAT#BCYT1-33K-08",1
R426,334290.0,PAGER SERVICE UAB,1
7G21,541519.0,THIS CONTRACT IS FOR CYBERPOWER UNINTERRUPTABLE POWER SUPPLIES (UPS) TO SUPPORT THE C5ISC-OISPL BRANCH OF THE USCG. THIS ADMINISTRATIVE MODIFICATION WAS COMPLETED TO CLOSEOUT THE CONTRACT/ORDER IN ACCORDANCE WITH HSAM 3004.804-5 AND FAR 4.804.,1
DA01,541519.0,FY23 ASANA ENTERPRISE ANNUAL SUBSCRIPTION,1
5970,335931.0,8506188064!INSULATION SLEEVING,1
7510,339940.0,WOOD PENCIL(7510002815234),1
R702,541511.0,"THE PURPOSE OF THIS REQUIREMENT IS TO ESTABLISH A CALL ORDER AGAINST FEMAS BPA OUTSOURCED CONTACT CENTER CONTRACT IN SUPPORT OF FEMAS DISASTER RESPONSE FOR OKLAHOMA, OHIO AND TEXAS.",1
5940,335999.0,"8507833679!SHIELD,TERMINAL BOA",1
5999,335311.0,DE-OBLIGATE EXCESS FUNDS FOR CONTRACT CLOSEOUT,1
Y1KF,237990.0,"FY20 MANATEE HARBOR DREDGE MATERIAL MANAGEMENT AREA (DMMA) AT MANATEE COUNTY, FLORIDA AT MANATEE COUNTY, FL",1
R606,561492.0,"QUEENS, NEW YORK HEARING OFFICE, THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE $142,429.00 TO CLOSE OUT ORDER.",1
5935,334417.0,"8507772296!CONNECTOR,RECEPTACL",1
R425,541512.0,THE PURPOSE OF THIS ADMINISTRATIVE MODIFICATION NO. P00008 IS TO NOTE THE FOLLOWING. ALL FUNDS HAVE BEEN EXPENDED ON THIS CONTRACT. ALL SERVICES HAVE BEEN DELIVERED AND ARE FINAL ON THIS CONTRACT. NO OTHER WORK OR ANY ACTION WILL TAKE PLACE UNDER THI,1
Y1QA,236220.0,PROJECT NO. 3916061 CRJMTC COMPANY HQ BL,1
AS12,541690.0,"THE PURPOSE OF THIS MODIFICATION IS TO: 1. EXERCISE OPTIONAL TASK 8  2. MOVE FUNDS IN THE AMOUNT OF 34,807.28 FROM CLIN 00002 TO CLIN 00500 (TASK 8) 3. ADD $45,101.70 TO CLIN 0005 FULLY FUND TASK 8",1
Z2PZ,237990.0,"CONTRACT FOR MAJOR REHABILITATION AT IL RIVER BASIN.  REF NO. R00058. MODIFICATION FOR ACTUATOR CABLE & GENERATOR MONITORING AND INCREASE TO CONTRACT PRICE NOT TO EXCEED $25,000. NO CHANGE TO CONTRACT COMPLETION DATE.",1
5985,334220.0,"8509117944!BASE,ANTENNA SUPPOR",1
Z2AA,236220.0,"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE CONTRACT COMPLETION DATE (CCD) BY 61 CALENDAR DAYS FROM 30 APRIL 2018 TO 30 JUNE 2018. FINANCIALLY COMPENSATE THE CONTRACTOR FOR TEMPORARY EQUIPMENT RENTAL FEES FOR GOVERNMENT USE DURING A 9 MONTH PERIOD FROM 01 OCTOBER 2017 TO THE NEW CCD OF 30 JUNE 2018. RENTAL EQUIPMENT INCLUDES TEMPORARY OFFICE TRAILER, CHAIRS, DESKS, AND LAVATORY.",1
R613,517810.0,AMT MADRID PO TELECOM LINE RENTAL FEES,1
6640,334516.0,NIAAA - LEICA DM 1000 LED FOR TRANSMITTED LIGHT AND FLUORESCENCE ERGONOMIC SYSTEM MICROSCOPE,1
5930,334512.0,"8505424320!SWITCH,THERMOSTATIC",1
Z1JZ,236220.0,ROME- FM  - PINCIANA 1  STAINLESS STEEL CABINETS - 7355,1
5841,334511.0,COMMUNICATIONS NAVIGATION SURVEILLANCE / AIR TRAFFIC MGT.,1
D320,541519.0,"IGF::CL,CT::IGF OR IGF::CT,CL::IGF ORACLE DATABASE MANAGEMENT HARDWARE MAINTENANCE",1
Y1JZ,236220.0,"IGF::OT::IGF - (""OTHER FUNCTIONS"") C105987 - UPGRADE HVAC IN BUILDING 10, ROOM B1L208A, NIH, BETHESDA, MD. - CHRIS ABANGMA  THE CONTRACTOR SHALL PROVIDE THE LABOR, MATERIALS, EQUIPMENT, AND SUPERVISION TO ACCOMPLISH THE FOLLOWING:  ALTERNATE: IF THE PRE-TAB READINGS PROVES THAT THE CURRENT VAV BOX DOESN'T HAVE THE CAPACITY TO SUPPORT ROOM B1L208A, THEN DEMOLISH THE EXISTING 50 CFM BRANCH LINE AND REBALANCE CVB-3 TO THE REDUCED CAPACITY. PROVIDE A NEW INDEPENDENT DUAL-DUCT BOX CONNECTED TO THE EXISTING MAINS",1
L070,541519.0,"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND $300,000.00 ADD ""LOE STATEMENT"" REVISE PWS PARA(S) 8.2.1 AND 11.2.3 AND CORRECT LABOR CATEGORIES AWARDED ON THIS TASK ORDER TO THE LABOR CATEGORIES IDENTIFIED IN ITES-3 BASE CONTRACT.",1
9905,335999.0,"PLATE, INSTRUCTION SHALL BE CRITICAL SOLUTIONS INTERNATIONAL INC. P/N 3508-34038-63",1
7520,423420.0,KYOCERA COPIER LEASE FOR CORRECTIONAL SERVICES AWARDED AGAINST DJD-17-HQ-S-0020 ALL THINGS REMAINING THE SAME IN REFERENCE TO THE AWARD AND CURRENT CR. MONTHLY LEASE PAYMENT OF $ 84.90 OCT-SEPT,1
D304,541519.0,"CONTRACTOR PROVIDES VIDEO AND WEBCASTING SERVICES IN ACCORDANCE WITH THE ATTACHED STATEMENT OF WORK FOR THE PERIOD OF FEBRUARY 08, 2018 THROUGH FEBRUARY 09, 2019. THE COR FOR THIS TASK ORDER IS BRIAN TUPPER, BRIAN.TUPPER@IRS.GOV.",1
Y1LC,236220.0,NO COST MODIFICATION TO CAMP CANADA WORK IN SOW.,1
Z2AA,236220.0,"TIME EXTENSION IS REQUESTED BY THE PM IN ORDER TO AID THE TENANT AGENCY TO FULFILL SOW REQUIREMENTS.  USMS DELAYED THE START OF THE PROJECT DUE TO LACK OF EQUIPMENT SPECIFICATIONS FROM JOHNSON CONTROLS. THERE WERE EXISTING UNFORESEEN CONDITIONS ON ELECTRICAL AND DATA THAT NEEDED TO BE RESOLVED. THE PROJECT WAS FURTHER DELAY BY THE GOVERNMENT AND WAS BEYOND THE CONTROL OF THE CONTRACTOR. THE CONTRACTOR IS NOT AT FAULT FOR THE DELAY. THE PERIOD OF PERFORMANCE FOR THIS TASK ORDER IS INCREASED BY 60 DAYS, FROM ",1
R499,541990.0,"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION YEAR 2 OF CONTRACT 47PA0120C0009 FROM 9/30/2022 TO 9/29/2023 AND TO INCREASE ""IN-SCOPE"" SERVICES TO ACCOMMODATE ADDITIONAL COMMUNICATIONS.   ALL OTHER TERMS AND CONDITIONS SHALL REMAIN THE SAME",1
V129,488490.0,"BASE YR, ABUJA CULTURAL ADVISOR/DRIVER",1
D318,541513.0,THIS MODIFICATION IS CREATED TO EXERCISE OPTION YEAR 2 FOR W91ZLK19F0026,1
Z2AA,236220.0,"PROVIDE ADDITIONAL FUNDING FOR THE REVISED SOW. THE CONTRACT COMPLETION DATE IS BEING EXTENDED FROM 10/13/2023 - 10/31/2023. THE TASK ORDER IS BEING INCREASED BY $19,342.17 FROM $49,650.87 TO $68,993.04.",1
5945,335314.0,"8509936755!RELAY,ELECTROMAGNET",1
R499,334220.0,REPLACEMENT OF INS STE PHONES WITH VIPER PHONES (VIPF1000-XAMDM) QUOTE: QUO-01577-D5Q9B1 2ND VENDOR EMAIL:  JOHN.ROBB@GD-MS.COM,1
